"sector-type","post_title","p_owner","p_client","disciplines","p_location","scope_of_work","project-category","p_status","p_start_date","p_end_date","p_year","feature image","feature image_url"
"Petrochemical","LSTK for SF4 Cooling Tower Revamp and Providing CP System","SABIC","SAFCO","Plant Services","Jubail","- The project scope for Cooling Tower Revamp includes detail design, engineering, procurement, supply, construction, installation, testing, pre-commissioning, and commission assistance for the civil works for the revamping of cooling tower along with cathodic protection (CP) works for the cooling tower. 
- All civil / mechanical works, concrete repair and CP system installation works (except for concrete repair along with the CP system for 800mm internal portion of the Fans rings), the work will be carried out during the Cooling Tower operating conditions. 
- A new CP system shall be installed along with new power cables from feeders to CP power supply units. 
- Existing vibration switches, accelerometer probes etc shall be removed and reinstalled after the work is completed.","Major","Ongoing","June 2018","July 2021","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/17.png"
"Petrochemical","E&I Works in Farabi Petrochemicals at Yanbu Project","Farabi Petrochemicals","Larsen & Toubro","Electrical & Instrumentation","Yanbu","Installation & Testing of all Electrical equipment’s, Transformers, MCC Panels, Cable Laying, and Power & Communication cables Termination etc. Cable continuity & meggering. Instrument Installation and Calibration.
","Major","Ongoing","May 2018","December 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/28.png"
"Oil & Gas","RETROFIT THE DEHYDRATOR VESSEL AT  SHGOSP-5  WITH DUAL FREQUENCY DESALTING (DFD) SYSTEM","Saudi Aramco","Shedgum GOSP-5","Plant Services","Shedgum","Its includes demolition of Internal Headers, Distributors, Grids, Transformers and Bushings (for both D-211 and D-212).  Installation of Vessel Components (Oil Headers, Effluent Water Collector-D-211, Interface draw-off collectors, hangers and support framers, Electrodes, Dual Frequency (DF) Power Units, High Voltage Bushings and Electrode Assemblies, DFD LRC II Control Panel (Control room and interface with DCS & ESD), new nozzles, 480V Power Supply units, level Transmitters).","Normal","Completed","April 2018","May 2018","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Scaffolding Services (Section 5 - Service/Sub-Contract Scope of Work) at Safaniyah offshore wellhead platforms","Saudi Aramco","Dynamic Industries","Scaffolding Services","Safaniyah","The scope includes supply of scaffolding Services at Safaniyah offshore","Normal","Ongoing","April 2018","September","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","EPC/LSTK for Quench Improvement Project OL-III (SP-152000016) (QIP)","SABIC","PetroKemya","Plant Services","Jubail","The project scope includes Engineering, Procurement, construction, Installation, Testing, Commissioning, Approval, Project Management and Site Demonstration for the Phase-II of Quench Improvement project in Olefins-III in Petrokemya. Modification of Process Water Blow Down (Benzene Contaminated Water). Modification of Quench water separator, DOX water treatment system, Quench water filters, Process water filters, Gasoline wash. Construction of a reinforced foundation and wall surrounding for Benzene Water Tank and Stripper package. Construction of a structure steel pipe-bridge and access stairs. Installation of Electrical Heat Tracing, Conduit, Lighting and Grounding. Supply and installation of instrument Equipments. DCS & ESD configuration. Loop test.","Major","Ongoing","April 2018","February 2020","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/15.png"
"Oil & Gas","SP-1632000054 PH-III VJ Piping Upgrade & LIN Injection System","SABIC","Gas Jubail","Plant Services","Jubail","The Project includes LSTK services for Engineering, procurement, construction, testing and commissioning of the following piping in Ph III plant:
• LIN VJ piping - Replacement of flanged type to welded type VJ piping
• LOX piping -Replacement of flanged type to welded type VJ piping
• LIN injection VJ piping
• NDT, Sandblasting and painting","Normal","Completed","April 2018","June 2018","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/14.png"
"Petrochemical","Common Temporary Facility for JUPC United EO/EG Ⅲ Project","SABIC / United","SAMSUNG","Construction Services","Jubail","The project scope is a supply, Installation, Testing and commissioning of common Temporary Facility for JUPC United EO/EG III Project","Normal","Ongoing","April 2018","March  2018","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Petrochemical","Electrical & Instrument Construction Work of YANSAB Debottlenecking project ","SABIC / YANSAB","eTEC Arabia","Mechanical Construction","Yanbu","The scope of work includes Electrical & Instrumentation works as mention below.
Installation of Electrical Equipments as per provided MTO. Installation of MCC / MV SWGR / NGR / Capacitor Bank panel, Bust Duct, SCADA / CMADA Equipments, MV / LV & Control Cables, Cable Trays with fittings, Lighting Cables, Lighting Fixtures, Lighting Stanchion / Poles, Grounding & Lighting System, Paging System, Cathodic Protection, Rack Room Equipments, DCS & AMS Panels, Machines Monitoring Protection System, Instrumentation and Control Valves, GC and Conductivity Analyzers Sampling Probes & Accessories, Gas Detector, Conduits & Fittings, SS Tubing, Fabrication and Erection Works and Instrumentation Calibration works. ","Normal","Completed","April 2018","December 2018","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/6.png"
"Petrochemical","Temporary Fence & Gate Work at Sabic United","SABIC / United","SAMSUNG","Construction Services","Jubail","The project scope is a Samsung Engineering for supply, installation of temporary fence and gate work.","Normal","Completed","March 2018","June 2018","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Petrochemical","AF-1335012, PCQ1 CCR Interface 1 with PCQ2 ","SABIC  ","Sabtank Jubail","System Integration Solutions","Jubail","Scope of works includes to relocate and or interface the Petro Chemical Quay-1 (PCQ-1) control and safety systems (i.e DCS, ESD, ATG, CCTV, F&G, Emergency Siren, Wireless Communication system as Telephone Hot Lines and IP Telephony system) with Petro Chemical Quay-2 (PCQ-2).","Normal","Ongoing","March 2018","September 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Petrochemical","Field construction work to replace Waste Heat Boliers at Ar-Razi Plant-3&4 ","SABIC / Ar-Razi","MHI","Plant Services","Jubail","Scope of work includes Mechanical, Piping, Electrical & Instrumentation and Civil works. Replacement of Waste Heat Boiler E-3205 AB and E-4205 AB at Plant-3 &4. Insulation work on the new waste heat boiler. Removal of existing piping supports and insulation. Reinstallation of removed piping, supports and insulation. Removal of structural members, platforms, ladders. Fabrication of temporary steel-structure required to support the existing structure during construction work. Surface preparation, site galvanization for the removed structural members. Removal of identified instruments, cables, cable & branch trays etc. Removal and reinstatement of identified electrical items like lighting poles, cables, cable & branch trays etc. Hydro-testing of reinstalled piping.","Normal","Ongoing","February 2018","August 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/11.png"
"Oil & Gas","SHAYBAH NGL 230kV Cable “Testing and Repair”","Saudi Aramco","Shaybah NGL ","Electrical Maintenance, Testing & Commissioning Services","Shaybah NGL ","The scope of work includes.
1. Identification of fault in 1CX500 Phase C (Conductor & Sheath).
2. Supply of Cable Joint/Termination kits in case of option -2
3. Installation of joints and termination
4. Testing of the circuit","Normal","Completed","March 2018","June 2018","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","RETROFIT THE DEHYDRATOR VESSEL D-211 AT HwGOSP-4 WITH DUAL FREQUENCY DESALTING (DFD) SYSTEM ","Saudi Aramco","Hawiyah GOSP","Plant Services","Hawaiyah","Scope of work includes.
Demolition work for electrical cathode. New work for electrical cathode protection. Demolition work for instrumentation scope. New work for instrumentation scope Demolition work for piping scope. New work for piping scope. Demolition work for civil /structure scope. New work for civil /structure. Demolition work for Mechanical scope. New work for Mechanical scope excluding Vessel shell internal blasting & coating.  Blasting & Coating services. ","Normal","Ongoing","Feb-18","Feb-21","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Mining & Minerals","Long Term Blanket Contract for Execution of Small And Medium Scale Multi Disciplined Projects","MA'ADEN","Ma'aden Phosphate","Plant Services","Ras Al-Khair","The scope of work includes Engineering, Procurement, Construction, Modification, Repair, Pre-Commissioning and Commissioning of multidiscipline project of Civil, Structure, Mechanical, Piping, Electrical and Instrumentation.","Major","Ongoing","Feb-18","Feb-21","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/20.png"
"Petrochemical","Mechanical, Piping and Steel Structure Construction Works package for YANSAB EG DBN Project ","SABIC / YANSAB","eTEC Arabia","Mechanical Construction","Yanbu","The scope of work includes Mechanical and Piping works as under.
Support for Heavy lifting contractor, Installation of new equipment, Demolition and re-installation of equipment, Installation of rotating equipment, Installation of static equipment, Installation of steel structure, Installation of internals, Catalyst filling, Chanel covers replacement for heat exchangers. Equipment cleaning during TA, Repair and modification activities, Grouting Works, Fire proofing, Touch up paint, Insulation for equipment, Pre commissioning. Pipe fabrication works. Piping erection works, FRP pipe erection, Valve and inline instrument installation, NDT and hydro testing, Pipe supports supply, prefabrication and erection, Special support installation, Grouting works, Painting, Tie-ins, Insulation works, Chemical cleaning, Pre commissioning","Major","Completed","Jan-18","Dec-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/6.png"
"Petrochemical","801 MOV 103B Cold Cutting and Welding during SD2018","SABIC","SHARQ","Plant Services","Jubail","The scope of work includes the Pre fabrication of temporary support, removal of structure, cold cutting of 2 joints for 10"" MOV and remove the valve, installation and welding of valve after valve repair.","Normal","Completed","Jan-18","Mar-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Oil & Gas","Replace 69KV Cables from Substation # 90 to Substation # 54 at RT Refinery","Saudi Aramco","Ras Tanura","Electrical Maintenance, Testing & Commissioning Services","Ras Tanura","It involves replacement of existing two 69kV circuit feeder cables from substation#90 upto primary side of the existing transformers at substation#54 including below scope: 
- Installation of GIS sealing and Outdoor sealing for 69kV XLPE Cables. 
- Cable pulling works for two 69kV circuit feeders. 
- Cable splicing works for two 69kV circuit feeders. 
- Gassing and de-gassing works and testing & commissioning works. ","Normal","Completed","Dec-17","Apr-18","Jul-05"," ","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Bolt Torqueing & Tensioning for KT-221 GT Area","Saudi Aramco","Uthmaniyah Gas Plant","Bolt Integrity Solutions","Uthmaniyah","Provision of Hydraulic bolt tightening (torque machine) to loosen and tighten the bolts of the compressor KT-221 in North Gas Treat Area. ","Normal","Completed","Dec-17","June 2018","Jul-05"," ","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","General Construction Works for Replace Utility Packaged Boilers Project at Berri Gas Plant ","Saudi Aramco","JGC","Mechanical Construction","Jubail","It includes general civil works, concrete works, structural erection, equipment erection, piping works, instrumentation works, electrical works, insulation works, painting works, fireproofing work for Replace Utility Packaged Boilers Project at Berri Gas Plant. ","Normal","Ongoing","Aug-17","Dec-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Demolition of abandoned Caustic Tank and Piping in Ras Tanura Clean Fuels Project ","Saudi Aramco","Tecnicas Reunidas","Plant Services","Ras Tanura","Demolition of reinforced concrete foundations, demolition of bitumen sand in tank bases, supply and execution of backfilling in foundations, pits, extrados of walls, trenches and channels, Loading, transport and unloading of remainder material from excavation out of the limits of property in an external authorized dumping area.  ","Normal","Completed","Jan-18","May-18","Jul-05"," ","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Construction Work for Replace Heater 200-H-02 Project in Ibn Zahr ","SABIC / IBN ZAHR","Tecnicas Reunidas","Mechanical Construction","Jubail","The Project Scope includes the replacement services for MTBE Heater during the MTBE T/A-2018. It also demolition, removal of associated piping, elecctrical panels and other associated equipment. Further, it includes erection of new heater aling with the associated equipment, mechanical piping, electrcial, instrumentation and other suporting works. ","Major","Completed","","","","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/8.png"
"Oil & Gas","Early works for Demolition of Abandoned Pipe Corridor  ","Saudi Aramco","Tecnicas Reunidas","Plant Services","Ras Tanura","Demolition of reinforced concrete sleepers; excavation in general soil, up to 3 meters deep including dewatering; supply and execution of backfilling in foundations, pits, extrados of walls, trenches and channels, carried out in layers with borrowed material; lading, transport and unloading of remainder material from excavation out of the limits of property in an external authorized dumping area. ‭","Normal","Completed","Jan-18","May-18","Jul-05"," ","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Site Development, Piperack Foundation and Rack Steel Erection Works for  KJO Global Gas & NGL Recovery & Handling Project ","Al-Khafji Joint Operations","JGC","Mechanical Construction","Al-Khafji","The scope includes performance of following activities to successfully execute the contract such as; 
• General civil/site development works include: demolition, clearing & grubbing, site grading, slope protection, landscaping etc. 
• Concrete works: foundation, soil compaction, piling, gate and fencing foundations, and other miscellaneous foundation. 
• Structural steel erection: pipe racks erection, erection of pipe racks including assembly and installation of platforms and accessways, etc. as well as the erection of bridge and/or pier structures. ","Major","Completed","Sep-17","Feb-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Upgrade HGP Area Alerting System ","Saudi Aramco","Hawiyah Gas Plant","System Integration Solutions","Hawaiyah","The scope includes preparation of doundation design power layout and other engineering requirements to install new electronic multi-tone emergency sirens. Contractor shall size and route the cable from junction box mounted in the omni directional antenna to the control room and preparation of necessary structural foundations. ","Normal","Completed","Dec-17","May-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Torqueing for GT-2 T&I at Hawiyah Plant","Saudi Aramco","Hawiyah Gas Plant","Bolt Integrity Solutions","Hawaiyah","Provision of Torqueing crews for Hydraulic services at Hawiyah Gas plant on a 12Hr shift. Hydraulic torqueing and opening shall be performed at H48 at GT#2 during T&I. ","Normal","Completed","Feb-18","May-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Fiber Optics Troubleshooting Services (01 Year Contract)","SABIC","Sabtank Jubail","System Integration Solutions","Jubail","Maintenance, troubleshooting and site support services for Fiber Optic Cable Communication of Sabtank ESD System, DCS system, PLC systems, RTG system and Instrumentation. These services include: 
1. Fiber Optic Cable Communication for GE FANUC ESD -PLC systems, Yokogawa DCS system, RTG system and Instrumentation installed for all SABIC and Non-SABIC affiliates
2. Fiber Optic Cable Communication between CCR, LCR, Berths for all SABIC and Non-SABIC affiliates. 
3. Fiber Optic Cable Communication for interface and communication between GE FANUC ESD system, Yokogawa DCS. system, RTG system and Instrumentation for all SABIC and Non-SABIC affiliates. ","Normal","Completed","Dec-17","Feb-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Oil & Gas","Plate Vehicle Recognition System for Saudi Aramco Northern Arabia Area Unconventional Gas (UG) Surface Facilities System-B Project ","Saudi Aramco","SNC Lavalin (Kentz)","System Integration Solutions","Turaif","The scope inlcudes EPC of PRS Color CCD Camera, Lenses for PRS Color CCD Camera, Housing for PRS Color CCD Camera, PRS Infrared (IR) Iiluminators, PRS Poles and Mounts, Loop Detector, Visual Alarm Light, PRS Audiable Alarm / Speaker, PRS Switch, PRS Controller, KVM Receiver, Hydraulic crash barrier along with controller and Modification/Expansion of existing PRS system. ","Normal","Completed","Dec-17","May-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Repairing of 30"" PNG Line at Plant III (Emergency)","SABIC","Ar-Razi","Plant Services","Jubail","The project scope was to carry out the emergency work repair of 30” PNG Line at Ar-Razi Plant III. The pipe material is SS 321 and thickness 21 mm. It includes grinding of 4 Nos. pipe joints up to root and re-welding, rectification for 1 no. pipe support along with complete radiography test (RT).  ","Normal","Completed","Dec-17","Dec-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/8.png"
"Petrochemical","Restore the (RG) Vent Line Movement from Support in Plant II ESD (Emergency) ","SABIC","Ar-Razi","Plant Services","Jubail","The project scope is to carry out the emergency work for RG Vent Line Rectification works in Plant-II ESD. It includes rectification of 24” line by cutting at joints and rectification of pipe support and damaged structure along with provision of all necessary material to complete the job. ","Normal","Completed","Dec-17","Dec-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/8.png"
"Oil & Gas","Bolt Torque for Khuff Gas Shut Down ","Saudi Aramco","Uthmaniyah Gas Plant","Bolt Integrity Solutions","Uthmaniyah","Provision of Hydraulic bolt tightening (torque machine) to loosen and tighten the bolts at Inlet Area during shut down. ","Normal","Completed","Jan-18","Jan-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Bolt Tensioning & Torquing Services (for the period of 10 years + 2 years extension option)","Petro Rabigh","Petro Rabigh","Bolt Integrity Solutions","Yanbu","The scope includes bolt tensioning, bolt torqueing, un-bolting (loosening of bolts), on-site machining, flange facing, flange spreading, pipe cutting, end prepping, on-line valve testing requirements.  ","Major","Ongoing","Dec-17","Dec-27","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/29.png"
"Petrochemical","Rental of Blast Resistant Modules (BRMs) for SCP/JCP TA 2018 ","Saudi Chevron","Saudi Chevron","Blast Resistant Modules","Jubail","It includes provision of 17 no's of Blast Resistant Modules (BRMs), supply and instalation of Power Generators, Furniture for 04 workstations, elcetrical, HVAC and all Distribution Panels for combines BRMs. ","Normal","Completed","Nov-17","Feb-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/27.png"
"Power","Site Training of 67 MVA 132 kV Class Power Transformers ","Bandariyah Int'l Co.","Bandariyah Int'l Co.","Electrical Maintenance, Testing & Commissioning Services","Al-Kharj","The scope includes provision of Site Training on EFACEC 67MVA, 110/13.8kV Power Transformers at New South Industrial Substation at Al-Kharj","Normal","Completed","May-17","May-17","Jul-05","",""
"Petrochemical","Electrical Power Equipment Service ","SABIC","Sabtank Jubail","Electrical Maintenance, Testing & Commissioning Services","Jubail","The scope includes Electric Power Equipment Major Preventive maintenance, testing & emergency support. It shall include also any corrective maintenance arises from these activities. The services to be performed in KFIP Port/ Sabtank Facilities area PCQ1. ","Normal","Completed","Aug-17","Aug-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Oil & Gas","Instrument Cable Testing works for Field Pipelines and Sitra Storage Expansion Project in BGP","Saudi Aramco","JGC","Electrical Maintenance, Testing & Commissioning Services","Jubail","The scope covers Instrument Cable Testing for major Instrument Equipment such as Visual inspection of all wiring connected to Junction box, verification of cable connections, field grounding, proper cable dressing along-with insulation resistance, conductor resisitance and continuity tests. ","Normal","Completed","Sep-17","Oct-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Overspeed Trip Relays Relocation PH8 Expanders 81-ET-001 AB/002 ","SABIC","Gas Jubail","Electrical Maintenance, Testing & Commissioning Services","Jubail","The scope includes supply, installation, testing and commissioning of PILZ Relays, Instrument cables and conduit pipes for Expander Overspeed Trip Relay Relocation in Gas Jubail. ","Normal","Completed","Dec-17","Jan-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/14.png"
"Petrochemical","Upgradation of Dissolvers / Settlers Piping System at Sadaf Salt Plant, SP-151100517 ","SABIC","Sadaf","Plant Services","Jubail","Scope of work includes engineering, procurement, supply, installation and commissioning of Rubber lined Carbon Steel piping system for Dissolver and Settler units at Sadaf Salt plant as the previous system of CS was facing frequesnt leakages. ","Normal","Completed","Nov-17","Jun-18","Jul-05"," ","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/3.png"
"Metal","Replacement of EOT Crane CR-71 at Rod & Mill-I Roll Shop of 
RMLP-1","SABIC","HADEED","Plant Services","Jubail","Scope of work includes Mechncial, civil, electrical and instrumentation works for Design, engineering, supply, installation and commissioning of 25 ton capacity electric overhead travelling (EOT) crane (CR-71) at Roll Shop of RMLP-1 for the better handling of steel bars at Roll shop. It also includes the removel of old 20 Ton crane which has gone obsolete. ","Normal","Ongoing","Nov-17","Feb-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/16.png"
"Petrochemical","Lifting Beam with Trolley in Manturbo Shed","Advanced Petrochmemical Company","Advanced Petrochmemical Company","Plant Services","Jubail","Scope of work includes field engineering like floor activites, field route changes to modify the platform, trolley for gear box so that it can be removed during the TAM for the removel and re-installation of compressor casing. It also includes NDT, welding and other related activities. ","Normal","Completed","Nov-17","Feb-18","Jul-05","",""
"Metal","Installation of De-dusting System in Oxide Tunnel of Module A/B - SP-162100001","SABIC","HADEED","Plant Services","Jubail","Scope of work includes Mechncial, civil, electrical and instrumentation works for Design, engineering, supply, installation, testing and commissioning assistance of a new de-dusting system for the oxide tunnel feeders and the conveyor system of Direct Reduction Module AB Plant at Hadeed. ","Normal","Ongoing","Nov-17","Feb-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/16.png"
"Petrochemical","Plant Support Services for all Sabic Affiliates - Master Agreement (LFC) ","SABIC","SABIC Global","Human Resorce Services","KSA","Scope of work includes provision of skilled manpower for all Sabic affiliates (Jubail/Yanbu) for the established long-form contract","Major","Ongoing","Nov-17","Nov-22","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Oil & Gas","Flange Facing (Machining) for EPC 10 & 11 at JRTP - T2220 ","Saudi Aramco","Tecnicas Reunidas","Bolt Integrity Solutions","Jazan","Scope of work includes hire of manpower and equipment to carry out in-situ flange facing / re-facing services to be performed at Jazan Refinery and Terminal Project at EPC 10 & 11 ","Normal","Completed","Nov-17","Mar-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Upgradation of PLC System in Existing Packaging Lines at Yanpet","SABIC / Yanpet","Golden Wing","System Integration Solutions","Yanbu","Scope of work includes PLC (S5-S7) upgrade with visualization system installation of 6 lines of packaging machine field installation at Yanpet plant  ","Normal","Completed","Nov-17","Jun-18","Jul-05","",""
"Petrochemical","IBB Switchyard Insulator Cleaning ","SABIC","IBN AL-BAYTAR","Electrical Maintenance, Testing & Commissioning Services","Jubail","Project scope consist of washing of 230 kV Substation outdoor RTV Coated Bushing/Insulators (totals=@70 Nos) with DM water. Cleaning of insulators with low pressure hydro jet pump and hand wiped with soft cloth choked with DM water without damaging the RTV coating.  ","Normal","Completed","Oct-17","Oct-17","Jul-05","",""
"Oil & Gas","SFC: 474-TR-400 SFC FOR Bolt Torquing ","Saudi Aramco","Berri Gas Plant","Bolt Integrity Solutions","Jubail","Scope of work includes bolt torquing services for T&I for the area 474-TR-400","Normal","Completed","Oct-17","Jan-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","SFC: 474-TR-600 SFC FOR Bolt Torquing ","Saudi Aramco","Berri Gas Plant","Bolt Integrity Solutions","Jubail","Scope of work includes bolt torquing services for T&I for the area 474-TR-600","Normal","Completed","Oct-17","Jan-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Scaffolding services for JIGCC Utilities - Common Area - Package 5","Saudi Aramco","Tecnicas Reunidas","Scaffolding Services","Jazan","Scope of work includes scaffolding services including supplying, erecting, renting and dismantling at JIGCC Utilities - Common Area - Package 5","Major","Ongoing","Oct-17","September 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Scaffolding Works for RTR Asphalt Production Facility Expansion Project","Saudi Aramco","SNC Lavalin (Kentz)","Scaffolding Services","Ras Tanura","Scope of work includes all scaffolding for the Asphalt Expansion project at RTR such as provision of engineering drawings, scaffold materials, erection, maintenance and dismantling of scaffolding along with provision of all necessary certifications. ","Normal","Completed","Sep-17","Aug-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Hydraulic Bolt Torqueing T-2220 JRT Project","Saudi Aramco","Tecnicas Reunidas  ","Bolt Integrity Solutions","Jazan","Scope of work includes hire of manpower and equipment to carry out hydraulic bolt torqueing to be done at Jazan Refinery and Terminal Project","Normal","Completed","Aug-17","Mar-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Structural & Piping Fabrication Jobs ","SABIC","Specialty Chem ","Plant Services","Jubail","Scope of work includes.
Piping and structural fabrication works such as welding of piping joints (BW), piping joints (SW), and structural steel (SW); hydrotest / pneumatic test, machining of components and mobilization of NDT technicians and fabrication GANG. ","Normal","Completed","Nov-17","Nov-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Oil & Gas","Scaffold Services at north Ghawar area  ","Saudi Aramco","North Ghawar Area","Scaffolding Services","North Ghawar Area","Scope of work includes Scaffolding Services including supplying, erecting, renting and dismantling.","Normal","Ongoing","Oct-17","Sep-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","MOC Services-TA-SD-2017","SABIC","SAUDI KAYAN","Plant Services","Jubail","Scope of work includes.
Provision of permanent 1"" Line with automatic valve. Piping supports modification for discharde line. Fabrication and installation of purge line vent to scrubber. Replacement of impeller. Change the position of Agitator. Replace gland packing into Mechanical seal (3 Nos Pumps). Replace CS line into SS line. Hydrotest the 24"" line almost 200 m in lenght and provide 1 No Taping. ","Normal","Completed","Oct-17","Mar-18","Jul-05","",""
"Metal","Design, Supply, Installation, Testing and Commissioning of 3W T 133 MVA, 230/34.5/13.8kV Transformer Replacement at MSS1 LPF    ","SABIC","HADEED","Electrical Maintenance, Testing & Commissioning Services","Jubail","Scope of work includes.
Design, Supply, Installation, Testing and Commissioning of 01 No 133 MVA 230 kV Power Transformer. Arrange shutdown for 01 No 133 MVA Power Transformer Drain the Oil. Open the top cover & remove HV and LV Bushing, radiators & all other device. Dismantle from HV & LV compartment along with internal and external control wiring and will note down for re wiring. Install New Proposed Transformer along with Radiators. Filling oil with maintain required temperature & oil filtration to be done . After oil filtration, oil sample will take for BDV & DGA test will be carried out as per SABIC standards. ","Normal","Completed","Oct-17","October 2018","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/16.png"
"Petrochemical","115 kV GIS Bay # 1 & # 5 Preventive Maintenance","SABIC","PetroKemya","Electrical Maintenance, Testing & Commissioning Services","Jubail","Scope of work includes.
Preventive Maintenance on 115KV GIS Bay#1, compartment, SF6 Gas Replacement, Gassing, Degassing, overhauling, Internal Inspection, Painting and Cleaning. ","Normal","Completed","Oct-17","Dec-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/15.png"
"Petrochemical","Modification of Process Condensate Stripper (AC-0141) and Related Equipments (AF-1320028)","SABIC","PetroKemya","Plant Services","Jubail","Scope of work includes.
Supply and Install of new Oily Condensate Pump.  Construction of civil foundation and related E&I work.  Supply and Install new filters AF-0120A and AF-0123A. Supply and Install new coalescer AV-0122A.  Supply and Replace existing AC-0141 internal trays with new high-performance trays.  Supply and Replace existing AC-0141 internal trays with new high-performance trays. Supply and Install new Stripped Condensate Pump AP-0141A. Pump should be per original 255mm impeller. Provide replacement 255mm impeller for pumps AP0141/S. Supply and Install new Dilution Steam Generator AE-0143C, with associated piping and valves. All associated piping, steel structure, E&I and civil foundation work.","Normal","Completed","Oct-17","Oct-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/15.png"
"Oil & Gas","Bolt Torque & Tensioning for K-421 Feed Gas Compressor (T&I)","Saudi Aramco","Uthmaniyah Gas Plant","Bolt Integrity Solutions","Uthmaniyah","Hydraulic Bolt Tightening Services for K-421 Feed Gas Compressor for T&I requirement ","Normal","Completed","Aug-17","Feb-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
